2018-08-17 11:28:05, level=nonError, message=user is logout, service=index, customerId=70, ip=127.0.0.1, data=
2018-08-20 07:12:03, level=nonCriticalErr, message=name length error, service=auth, customerId=none, ip=127.0.0.1, data=Name mast contain from 3 to 20 characters
2018-08-20 07:12:03, level=nonCriticalErr, message=password length error, service=auth, customerId=none, ip=127.0.0.1, data=Password mast contain from 3 to 20 characters
2018-08-20 07:12:21, level=nonCriticalErr, message=password length error, service=auth, customerId=none, ip=127.0.0.1, data=Password mast contain from 3 to 20 characters
2018-08-20 07:12:34, level=nonCriticalErr, message=user entered wrong password, service=auth, customerId=none, ip=127.0.0.1, data=Wrong password
2018-08-20 07:13:11, level=nonErr, message=add new user, service=auth, customerId=75, ip=127.0.0.1, data=
2018-08-20 07:15:34, level=nonError, message=user sent message successfully, service=sendMsg, customerId=75, ip=127.0.0.1, data=
2018-08-20 07:15:34, level=nonErr, message=update new messages, service=getMsg, customerId=75, ip=127.0.0.1, data=Array
2018-08-20 07:16:32, level=nonCriticalErr, message=User sent empty message, service=sendMsg, customerId=75, ip=127.0.0.1, data=Message is empty
2018-08-20 07:16:50, level=nonError, message=user is logout, service=index, customerId=75, ip=127.0.0.1, data=
2018-08-20 07:32:59, level=nonErr, message=update new messages, service=getMsg, customerId=76, ip=127.0.0.1, data=Array
2018-08-20 10:56:15, level=nonErr, message=user is logout, service=index, customerId=76, ip=127.0.0.1, data=
2018-08-20 10:56:21, level=nonCriticalErr, message=user entered wrong password, service=auth, customerId=none, ip=127.0.0.1, data=Wrong password
2018-08-20 10:56:28, level=nonCriticalErr, message=name length error, service=auth, customerId=none, ip=127.0.0.1, data=Name mast contain from 3 to 20 characters
2018-08-20 10:56:36, level=nonErr, message=add new user, service=auth, customerId=77, ip=127.0.0.1, data=
2018-08-20 10:56:42, level=nonErr, message=user sent message successfully, service=sendMsg, customerId=77, ip=127.0.0.1, data=
2018-08-20 10:56:42, level=nonErr, message=update new messages, service=getMsg, customerId=77, ip=127.0.0.1, data=Array
2018-08-20 10:56:50, level=nonErr, message=user sent message successfully, service=sendMsg, customerId=77, ip=127.0.0.1, data=
2018-08-20 10:56:50, level=nonErr, message=update new messages, service=getMsg, customerId=77, ip=127.0.0.1, data=Array
2018-08-20 10:56:50, level=nonErr, message=update new messages, service=getMsg, customerId=77, ip=127.0.0.1, data=Array
2018-08-20 10:56:53, level=nonErr, message=update new messages, service=getMsg, customerId=77, ip=127.0.0.1, data=Array
2018-08-20 10:56:56, level=nonErr, message=user sent message successfully, service=sendMsg, customerId=77, ip=127.0.0.1, data=
2018-08-20 10:56:56, level=nonErr, message=update new messages, service=getMsg, customerId=77, ip=127.0.0.1, data=Array
2018-08-20 10:57:06, level=nonErr, message=update new messages, service=getMsg, customerId=77, ip=127.0.0.1, data=Array
2018-08-20 10:59:35, level=nonErr, message=user is logout, service=index, customerId=none, ip=127.0.0.1, data=
2018-08-21 12:10:54, level=nonErr, message=add new user, service=auth, customerId=81, ip=127.0.0.1, data=
2018-08-21 12:11:00, level=nonCriticalErr, message=User sent empty message, service=sendMsg, customerId=81, ip=127.0.0.1, data=Message is empty
2018-09-12 04:27:53, level=criticalErr, message=connection failed, service=index, customerId=none, ip=127.0.0.1, data=
2018-09-12 04:28:20, level=criticalErr, message=connection failed, service=index, customerId=none, ip=127.0.0.1, data=
2018-09-12 04:28:53, level=criticalErr, message=connection failed, service=index, customerId=none, ip=127.0.0.1, data=
2018-09-12 04:28:55, level=criticalErr, message=connection failed, service=index, customerId=none, ip=127.0.0.1, data=
2018-09-12 04:28:58, level=criticalErr, message=connection failed, service=index, customerId=none, ip=127.0.0.1, data=
2018-09-12 04:29:00, level=criticalErr, message=connection failed, service=index, customerId=none, ip=127.0.0.1, data=
2018-09-12 05:01:30, level=criticalErr, message=connection failed, service=index, customerId=none, ip=127.0.0.1, data=
2018-09-12 05:04:07, level=nonErr, message=add new user, service=auth, customerId=1, ip=127.0.0.1, data=
2018-09-12 05:06:30, level=nonErr, message=user sent message successfully, service=sendMsg, customerId=1, ip=127.0.0.1, data=
2018-09-12 05:06:30, level=nonErr, message=update new messages, service=getMsg, customerId=1, ip=127.0.0.1, data=Array
2018-09-12 05:07:28, level=nonErr, message=user sent message successfully, service=sendMsg, customerId=1, ip=127.0.0.1, data=
2018-09-12 05:07:28, level=nonErr, message=update new messages, service=getMsg, customerId=1, ip=127.0.0.1, data=Array
2018-09-12 05:21:19, level=nonErr, message=update new messages, service=getMsg, customerId=1, ip=127.0.0.1, data=Array
2018-09-12 05:21:20, level=nonErr, message=update new messages, service=getMsg, customerId=1, ip=127.0.0.1, data=Array
2018-09-12 06:01:18, level=nonErr, message=user sent message successfully, service=sendMsg, customerId=1, ip=127.0.0.1, data=
2018-09-12 06:01:18, level=nonErr, message=update new messages, service=getMsg, customerId=1, ip=127.0.0.1, data=Array
2018-09-12 06:01:28, level=nonErr, message=user sent message successfully, service=sendMsg, customerId=1, ip=127.0.0.1, data=
2018-09-12 06:01:28, level=nonErr, message=update new messages, service=getMsg, customerId=1, ip=127.0.0.1, data=Array
